Speciality,Category,Package Amount,Code,Procedure,Preauth Documentation,Claim Documentation,Package Type
,,ICD CODE,SURGERY CODE,SYSTEM,PREAUTH EVIDENCE,CLAIM EVIDENCE,PACKAGE AMOUNT
,S1.1 HEAD and NECK,29.2,S1.1.1.1,Excision of Branchial Cyst,"Fine Needle Aspiration Cytology (FNAC), Clinical Photograph, X-ray","Routine Histopathological Examination, Scar Photo",25000
,S1.1 HEAD and NECK,26.30.3,S1.1.1.11,Removal Of Submandibular Salivary Gland,"Fine Needle Aspiration Cytology (FNAC), Clinical Photograph","Routine Histopathological Examination, Intra OP photo",36300
,S1.1 HEAD and NECK,26.4,S1.1.1.12,Parotid Duct Repair,Silography,"Silography, Intra OP photo",35000
,S1.1 HEAD and NECK,29.52.1,S1.1.1.2,Excision of Branchial Sinus,"X-ray, Clinical Photograph with IV canula in situ","Routine Histopathological Examination, Clinical Photograph",25000
,S1.1 HEAD and NECK,40.29.1,S1.1.1.4,Excision of Cystic Hygroma -Extensive,"Fine Needle Aspiration Cytology (FNAC)//USG local area/ CT Local Area, Clinical Photograph",Routine Histopathological Examination,28000
,S1.1 HEAD and NECK,40.29.2,S1.1.1.5,Excision of Cystic Hygroma -Major,"Fine Needle Aspiration Cytology (FNAC)/USG local area/ CT Local Area, Clinical Photograph",Routine Histopathological Examination,32000
,S1.1 HEAD and NECK,40.29.3,S1.1.1.6,Cystic Hygroma Excision-Minor,"Fine Needle Aspiration Cytology (FNAC)/USG local area/ CT Local Area, Clinical Photograph",Routine Histopathological Examination,15000
,S1.1 HEAD and NECK,06.6,S1.1.1.7,Excision of Lingual Thyroid,"T3, T4, TSH,USG Neck / Thyroid Uptake Measurements With 131-Iodine, Fine Needle Aspiration Cytology (FNAC), Clinical Photograph, Case sheet with clinical History",Routine Histopathological Examination,36000
,S1.1 HEAD and NECK,06.8.1,S1.1.1.8,Parathyroidectomy -Non Malignant,"USG Neck ,Serum Calcium Levels, P.T.H Assay (Parathyroid Assay), Fine Needle Aspiration Cytology (FNAC)","Routine Histopathological Examination, Scar Photo",58500
,S1.1 HEAD and NECK,06.7,S1.1.1.9,Excision of Thyroglossal Cyst Fistula,"T3, T4, TSH,USG Neck , Fine Needle Aspiration Cytology (FNAC), Clinical Photograph, Fistulogram","Routine Histopathological Examination, Scar Photo",30000
,S1.1 HEAD and NECK,25.2.1,S1.1.3.1,Partial Glossectomy,"Biopsy report, Clinical Photograph","Routine Histopathological Examination, Clinical Photograph",50000
,S1.1 HEAD and NECK,27.54.2,S1.1.4.1,ABBE Operation,"Fine Needle Aspiration Cytology (FNAC), Clinical Photograph","Routine Histopathological Examination, Clinical Photograph",20000
,S1.1 HEAD and NECK,27.43.2,S1.1.4.2,Vermilionectomy,"Fine Needle Aspiration Cytology (FNAC), Clinical Photograph","Routine Histopathological Examination, Intra OP photo",21170
